Indicadores de producto PATR;Indicadores de producto Plan indicativo
Mujeres rurales beneficiadas con procesos de formalización de tierras;Mujeres rurales beneficiadas con procesos de formalización de tierras
Mujeres u organizaciones que accedieron (como operadoras y/o beneficiarias) a la conciliación en derecho, en equidad, mediación y/o otros mecanismos para solucionar conflictos incluidos los de uso y tenencia de la tierra;#N/D
Municipios beneficiados del programa de fomento a la cultura de la formalización laboral;#N/D
Municipios con cobertura de inspección móvil del trabajo en áreas rurales;#N/D
Municipios con programas artísticos y culturales implementados en zonas rurales;#N/D
Municipios PDET con circuitos cortos de comercialización fortalecidos;#N/D
Municipios PDET con programas artísticos y culturales implementados;#N/D
Municipios rurales sensibilizados en el marco del Modelo de Inclusión Laboral con énfasis en la inclusión laboral de personas con discapacidad;#N/D
Municipios y áreas no municipalizadas con redes de telecomunicaciones ampliadas;#N/D
Negocios verdes creados en zonas de interés ambiental con presencia de cultivos de coca, amapola y marihuana;#N/D
Nuevos cupos asignados en el programa Colombia Mayor;#N/D
Nuevos cupos en educación técnica, tecnológica, y superior, habilitados en zonas rurales;#N/D
Número de acuerdos sociales firmados y ratificados;#N/D
Número de empresas RUES legalmente constituidas - CIIU específicos;#N/D
Número de inspectores laborales operando territorialmente;#N/D
Número de instrumentos de ordenamiento y planificación de Áreas de Especial Interés Ambiental - AEIA, formulados y/o actualizados, incorporando el Plan de Zonificación Ambiental;#N/D
Número de Juntas de Acción Comunal contratadas en los procesos de contratación del proyecto de vías terciarias para la paz y el posconflicto;#N/D
Número de mujeres operadoras de la conciliación en derecho, en equidad, y de la mediación;#N/D
Número de municipios con escenarios deportivos mejorados y/o adecuados;#N/D
Número de municipios priorizados con vías fluviales intervenidas;#N/D
Numero de organizaciones productoras de semillas nativas vinculadas;#N/D
Número de planes regionales de transporte intermodal PRTI finalizados;#N/D
Número de productores que reciben el servicio de extensión agropecuaria;#N/D
Número de programas de restauración con enfoque territorial estructurados;#N/D
Número de RNT activos;#N/D
Número de sedes de gobierno propio;#N/D
Número de sujetos de reparación colectivos con PIRC étnicos concertados, consultados e implementados;#N/D
Número de zonificaciones ambientales participativas formuladas en subregiones y municipios;#N/D
Ofertas tecnológicas disponibles al servicio del sector agropecuario por tipologías de organización;#N/D
Organizaciones beneficiadas;#N/D
Organizaciones solidarias creadas, apoyadas y financiadas ;#N/D
Organizaciones solidarias de mujeres creadas, apoyadas, financiadas o fortalecidas que provean información logística, administren los centros de acopio y promocionen los productos del campo;#N/D
Organizaciones solidarias fortalecidas en capacidades productivas y administrativas;#N/D
Paquetes tecnológicos implementados;Paquetes tecnológicos implementados
Personas asistidas técnicamente para el ejercicios de control social rendición de cuentas y participación ciudadana;#N/D
Personas beneficiarias de formación itinerante;#N/D
Personas capacitadas;Personas capacitadas
Personas capacitadas en promoción cultural y ancestral de las comunidades indígenas;#N/D
Personas certificadas en alfabetización digital;Personas certificadas en alfabetización digital
Personas colocadas laboralmente;Personas colocadas laboralmente
